cluster	area	merge
7	7	98.8689287268147	7:98.9
9	9	745.764321423921	9:745.8
10	10	97.0314170707994	10:97
11	11	324.89768460838	11:324.9
12	12	249.175437503404	12:249.2
13	13	306.618396533995	13:306.6
23	23	179.240803766926	23:179.2
25	25	205.05860523376	25:205.1
26	26	132.525174189698	26:132.5
27	27	4274.96136558989	27:4275
36	36	78.3658737034953	36:78.4
38	38	181.512358860417	38:181.5
40	40	127.877943360588	40:127.9
42	42	103.810927991876	42:103.8
44	44	98.1902992119205	44:98.2
46	46	90.0310692395382	46:90
49	49	422.327725788612	49:422.3
50	50	244.275426752784	50:244.3
53	53	547.002664542661	53:547
