row	col	cluster
11720	63	261	7
11976	64	261	7
12232	65	260	7
12234	65	262	7
12489	66	260	7
12490	66	261	7
12491	66	262	7
12492	66	263	7
12743	67	258	7
12744	67	259	7
12745	67	260	7
12746	67	261	7
12752	67	267	7
13000	68	257	7
13001	68	258	7
13002	68	259	7
13003	68	260	7
13004	68	261	7
13006	68	263	7
13008	68	265	7
13009	68	266	7
13262	69	260	7
13263	69	261	7
13264	69	262	7
13265	69	263	7
13267	69	265	7
13268	69	266	7
13269	69	267	7
13519	70	258	7
13523	70	262	7
13524	70	263	7
13525	70	264	7
13527	70	266	7
13778	71	257	7
13780	71	259	7
13781	71	260	7
13782	71	261	7
13783	71	262	7
13784	71	263	7
13785	71	264	7
13787	71	266	7
14043	72	260	7
14044	72	261	7
14045	72	262	7
14046	72	263	7
14048	72	265	7
14050	72	267	7
14307	73	261	7
14308	73	262	7
14310	73	264	7
14311	73	265	7
14312	73	266	7
14571	74	261	7
14573	74	263	7
14835	75	263	7
14836	75	264	7
15979	80	79	9
15982	80	82	9
15985	80	85	9
16237	81	68	9
16238	81	69	9
16251	81	82	9
16252	81	83	9
16504	82	66	9
16506	82	68	9
16507	82	69	9
16519	82	81	9
16520	82	82	9
16521	82	83	9
16522	82	84	9
16523	82	85	9
16524	82	86	9
16781	83	68	9
16782	83	69	9
16783	83	70	9
16794	83	81	9
16795	83	82	9
16798	83	85	9
17059	84	68	9
17065	84	74	9
17070	84	79	9
17071	84	80	9
17072	84	81	9
17073	84	82	9
17074	84	83	9
17337	85	65	9
17338	85	66	9
17339	85	67	9
17340	85	68	9
17341	85	69	9
17342	85	70	9
17343	85	71	9
17346	85	74	9
17347	85	75	9
17348	85	76	9
17350	85	78	9
17351	85	79	9
17352	85	80	9
17353	85	81	9
17354	85	82	9
17464	85	192	10
17625	86	64	9
17626	86	65	9
17627	86	66	9
17628	86	67	9
17629	86	68	9
17630	86	69	9
17631	86	70	9
17632	86	71	9
17636	86	75	9
17637	86	76	9
17638	86	77	9
17639	86	78	9
17640	86	79	9
17641	86	80	9
17642	86	81	9
17643	86	82	9
17644	86	83	9
17753	86	192	10
17756	86	195	10
17920	87	63	9
17921	87	64	9
17922	87	65	9
17923	87	66	9
17924	87	67	9
17925	87	68	9
17926	87	69	9
17927	87	70	9
17928	87	71	9
17929	87	72	9
17931	87	74	9
17932	87	75	9
17933	87	76	9
17934	87	77	9
17935	87	78	9
17936	87	79	9
17937	87	80	9
17938	87	81	9
18049	87	192	10
18050	87	193	10
18051	87	194	10
18225	88	62	9
18226	88	63	9
18227	88	64	9
18228	88	65	9
18229	88	66	9
18230	88	67	9
18231	88	68	9
18232	88	69	9
18233	88	70	9
18234	88	71	9
18237	88	74	9
18238	88	75	9
18239	88	76	9
18240	88	77	9
18241	88	78	9
18242	88	79	9
18243	88	80	9
18355	88	192	10
18356	88	193	10
18359	88	196	10
18360	88	197	10
18361	88	198	10
18541	89	62	9
18542	89	63	9
18543	89	64	9
18544	89	65	9
18545	89	66	9
18546	89	67	9
18547	89	68	9
18548	89	69	9
18549	89	70	9
18550	89	71	9
18551	89	72	9
18554	89	75	9
18555	89	76	9
18556	89	77	9
18557	89	78	9
18558	89	79	9
18671	89	192	10
18672	89	193	10
18673	89	194	10
18674	89	195	10
18675	89	196	10
18676	89	197	10
18858	90	62	9
18859	90	63	9
18860	90	64	9
18861	90	65	9
18862	90	66	9
18863	90	67	9
18864	90	68	9
18865	90	69	9
18866	90	70	9
18867	90	71	9
18990	90	194	10
18991	90	195	10
18992	90	196	10
18993	90	197	10
18994	90	198	10
